epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5535,2.22188,4.21327,3.7132,1.9402,0.00566,0.47138,0.13198,0.07316,0.00259,0.25921,0.03446,0.00645,1.92159,3.87822,3.71301,1.78202,0.000407407,0.000407407,0.000407407
2,42.7895,2.03273,2.87987,2.52699,1.66974,0.71541,0.28793,0.21689,0.1023,0.66645,0.16429,0.10204,0.02422,2.00197,2.93954,2.98948,1.95303,0.000815916,0.000815916,0.000815916
3,61.1212,1.97693,2.78499,2.19762,1.63192,0.43577,0.28597,0.21064,0.08371,0.30706,0.09312,0.04792,0.01201,2.27082,4.00439,2.82118,2.0953,0.00121617,0.00121617,0.00121617
4,78.7156,1.93661,2.65824,2.01898,1.57604,0.33524,0.40095,0.39171,0.16768,0.2502,0.30771,0.23877,0.0725,1.9881,2.47874,2.42512,1.81818,0.00121287,0.00121287,0.00121287
5,97.5782,1.92231,2.64797,1.94487,1.58418,0.51115,0.47738,0.46437,0.19125,0.41838,0.38375,0.33677,0.1031,2.04405,1.95074,1.96797,1.84383,0.0012005,0.0012005,0.0012005
6,116.471,1.89356,2.54916,1.82171,1.56439,0.53697,0.54182,0.55661,0.2339,0.40957,0.45039,0.36753,0.09918,1.87908,2.00911,2.39373,1.76399,0.00118812,0.00118812,0.00118812
7,134.764,1.85308,2.57812,1.72673,1.54471,0.54105,0.55633,0.56639,0.24303,0.45603,0.48157,0.41037,0.11965,1.79891,2.10681,1.63858,1.67605,0.00117575,0.00117575,0.00117575
8,152.538,1.83198,2.55243,1.66331,1.53631,0.44076,0.59227,0.52413,0.22938,0.36926,0.48632,0.39022,0.11332,1.82468,1.96707,1.74962,1.6357,0.00116337,0.00116337,0.00116337
9,170.725,1.82505,2.53,1.63968,1.52532,0.56022,0.56969,0.57309,0.24653,0.5318,0.48035,0.4629,0.13479,1.9333,2.04088,1.70864,1.723,0.001151,0.001151,0.001151
10,189.077,1.80809,2.51125,1.59113,1.49741,0.5852,0.4832,0.51257,0.2331,0.46874,0.37319,0.35168,0.10378,1.82615,2.00375,2.21976,1.65198,0.00113863,0.00113863,0.00113863
11,206.822,1.79768,2.4599,1.60504,1.49683,0.61188,0.47661,0.52043,0.25276,0.4727,0.32205,0.2966,0.0893,1.73361,2.09865,1.79971,1.57853,0.00112625,0.00112625,0.00112625
12,225.811,1.73536,2.37678,1.47237,1.46154,0.53113,0.58918,0.56514,0.24924,0.46253,0.50621,0.43789,0.12506,1.83058,1.86849,1.52541,1.68496,0.00111388,0.00111388,0.00111388
13,244.469,1.76803,2.41589,1.49015,1.47797,0.66036,0.59057,0.66167,0.29641,0.55513,0.52117,0.52344,0.16903,1.72263,1.66066,1.46949,1.59033,0.0011015,0.0011015,0.0011015
14,262.437,1.7264,2.38522,1.45368,1.47363,0.59657,0.63002,0.64398,0.29963,0.53709,0.54326,0.53223,0.17116,1.72388,1.68396,1.3686,1.58025,0.00108913,0.00108913,0.00108913
15,281.028,1.72477,2.35524,1.39582,1.45863,0.79805,0.54839,0.62002,0.28831,0.75452,0.47776,0.54007,0.16613,1.83671,1.76776,1.51498,1.6522,0.00107675,0.00107675,0.00107675
16,299.391,1.71631,2.31305,1.42158,1.45506,0.67168,0.60243,0.63608,0.28278,0.56347,0.51146,0.43933,0.12655,1.80853,1.89501,1.4635,1.60323,0.00106437,0.00106437,0.00106437
17,317.438,1.74614,2.32587,1.41492,1.46172,0.60218,0.53763,0.57006,0.26904,0.48846,0.44539,0.40905,0.12939,1.67374,1.91543,1.46298,1.55991,0.001052,0.001052,0.001052
18,334.554,1.68773,2.33543,1.36453,1.43591,0.58979,0.66326,0.65593,0.32333,0.50603,0.50762,0.46665,0.13949,1.64526,1.90172,1.286,1.52573,0.00103962,0.00103962,0.00103962
19,350.367,1.67891,2.34045,1.31871,1.41958,0.56258,0.6471,0.65157,0.31327,0.46585,0.51568,0.48417,0.16057,1.69657,1.76232,1.33002,1.5499,0.00102725,0.00102725,0.00102725
20,365.558,1.69821,2.28329,1.34926,1.43781,0.61128,0.62692,0.65472,0.31445,0.5203,0.50021,0.47467,0.14997,1.68973,1.83841,1.30469,1.52026,0.00101488,0.00101488,0.00101488
21,380.542,1.68688,2.31583,1.33927,1.42294,0.65075,0.61019,0.65929,0.32067,0.52272,0.53061,0.49912,0.16776,1.62707,1.89312,1.30423,1.50614,0.0010025,0.0010025,0.0010025
22,395.66,1.6698,2.313,1.31438,1.41338,0.63039,0.6715,0.68029,0.33116,0.50628,0.55277,0.49967,0.17574,1.67077,1.66966,1.3664,1.55268,0.000990125,0.000990125,0.000990125
23,410.649,1.64651,2.30153,1.31041,1.39704,0.72957,0.66703,0.71094,0.33346,0.64697,0.56688,0.56071,0.18567,1.67028,1.83836,1.31874,1.52176,0.00097775,0.00097775,0.00097775
24,427.117,1.68344,2.32366,1.31177,1.41691,0.61108,0.69693,0.68033,0.34053,0.55852,0.63148,0.59435,0.20854,1.63587,1.6906,1.27754,1.50152,0.000965375,0.000965375,0.000965375
25,445.851,1.66771,2.27323,1.30708,1.41932,0.77914,0.63216,0.69669,0.35855,0.62497,0.58282,0.57704,0.19216,1.61213,1.65087,1.24645,1.49383,0.000953,0.000953,0.000953
26,463.485,1.64433,2.2206,1.28846,1.40847,0.70255,0.66246,0.70333,0.33911,0.6407,0.62131,0.62655,0.21243,1.63813,1.6904,1.2304,1.51708,0.000940625,0.000940625,0.000940625
27,481.233,1.64461,2.2193,1.27157,1.40343,0.71843,0.65351,0.68694,0.34183,0.68016,0.61999,0.62276,0.21058,1.67842,1.69617,1.28985,1.5419,0.00092825,0.00092825,0.00092825
28,498.785,1.63038,2.26327,1.25553,1.40455,0.72278,0.5725,0.66628,0.3349,0.60197,0.45969,0.49056,0.17013,1.64664,1.79267,1.29563,1.52007,0.000915875,0.000915875,0.000915875
29,516.881,1.61116,2.25638,1.22364,1.3939,0.64709,0.58887,0.62598,0.30593,0.58635,0.50246,0.48962,0.16176,1.69758,1.82492,1.38612,1.55764,0.0009035,0.0009035,0.0009035
30,534.696,1.59153,2.20846,1.207,1.35844,0.75419,0.64048,0.69474,0.35408,0.70891,0.57971,0.61211,0.21223,1.49819,1.59643,1.22128,1.43455,0.000891125,0.000891125,0.000891125
31,552.304,1.57485,2.20963,1.19301,1.3635,0.66017,0.65316,0.67803,0.35464,0.62577,0.59275,0.60864,0.21576,1.60523,1.62124,1.20643,1.48238,0.00087875,0.00087875,0.00087875
32,568.378,1.58233,2.17816,1.2221,1.38197,0.65677,0.63167,0.67176,0.34131,0.64032,0.56624,0.58257,0.20035,1.60475,1.68646,1.21613,1.49569,0.000866375,0.000866375,0.000866375
33,583.409,1.56204,2.16743,1.19464,1.36343,0.66694,0.68333,0.69636,0.35824,0.61029,0.62452,0.59376,0.19864,1.6472,1.76096,1.2076,1.51227,0.000854,0.000854,0.000854
34,598.482,1.55736,2.16256,1.17972,1.35139,0.68919,0.7171,0.73566,0.37068,0.63667,0.62745,0.65337,0.22425,1.63925,1.63278,1.17404,1.48511,0.000841625,0.000841625,0.000841625
35,613.416,1.56019,2.17105,1.16477,1.34382,0.7387,0.68275,0.73362,0.36827,0.69464,0.61756,0.64998,0.23051,1.55639,1.69185,1.16337,1.45164,0.00082925,0.00082925,0.00082925
36,628.4,1.58952,2.18656,1.18249,1.37919,0.72409,0.59482,0.65868,0.33447,0.58222,0.54747,0.56999,0.19913,1.60478,1.71177,1.23192,1.49568,0.000816875,0.000816875,0.000816875
37,643.408,1.57694,2.25498,1.2005,1.36872,0.61741,0.67548,0.69494,0.35772,0.64766,0.55756,0.62301,0.2136,1.65366,1.60534,1.19919,1.50354,0.0008045,0.0008045,0.0008045
38,658.684,1.54659,2.17102,1.17059,1.35798,0.72843,0.68547,0.72105,0.34847,0.68727,0.63909,0.65578,0.21726,1.64475,1.62088,1.14878,1.54947,0.000792125,0.000792125,0.000792125
39,673.888,1.52452,2.10333,1.1318,1.34037,0.69677,0.63038,0.64885,0.33092,0.71257,0.54633,0.57707,0.20439,1.64461,1.66968,1.20599,1.50088,0.00077975,0.00077975,0.00077975
40,689.297,1.54441,2.09427,1.16269,1.33146,0.70867,0.63133,0.68614,0.35004,0.52199,0.5981,0.52884,0.18719,1.57035,1.59858,1.16784,1.48631,0.000767375,0.000767375,0.000767375
41,704.498,1.53198,2.11429,1.12679,1.3276,0.66339,0.69754,0.7086,0.36451,0.58014,0.62129,0.59981,0.20232,1.58929,1.7276,1.15369,1.47397,0.000755,0.000755,0.000755
42,719.904,1.50842,2.15395,1.11439,1.31932,0.6509,0.65745,0.71152,0.35032,0.5411,0.57624,0.56152,0.20214,1.62484,1.75977,1.19188,1.52087,0.000742625,0.000742625,0.000742625
43,734.942,1.53234,2.07735,1.09753,1.35202,0.7245,0.69581,0.73564,0.37588,0.6618,0.61297,0.60842,0.2171,1.62445,1.63967,1.13862,1.5035,0.00073025,0.00073025,0.00073025
44,750.312,1.52867,2.14775,1.10423,1.33324,0.77956,0.68584,0.72546,0.38754,0.66306,0.6352,0.62976,0.23454,1.58654,1.64762,1.13171,1.47691,0.000717875,0.000717875,0.000717875
45,765.951,1.52218,2.10913,1.10288,1.3251,0.63742,0.70448,0.69834,0.37797,0.58569,0.59539,0.60125,0.22322,1.51769,1.70832,1.13808,1.42048,0.0007055,0.0007055,0.0007055
46,781.074,1.48503,2.08992,1.0816,1.31372,0.70755,0.65947,0.71798,0.3694,0.67722,0.61527,0.67286,0.24485,1.55214,1.61012,1.10611,1.47395,0.000693125,0.000693125,0.000693125
47,796.238,1.49087,2.08984,1.07689,1.31244,0.67798,0.67914,0.68989,0.35348,0.62897,0.63028,0.61256,0.20424,1.58911,1.6503,1.15452,1.47542,0.00068075,0.00068075,0.00068075
48,811.867,1.49102,2.09871,1.08445,1.32558,0.76439,0.6846,0.7411,0.37628,0.73159,0.6409,0.69436,0.24527,1.5611,1.56576,1.11574,1.48188,0.000668375,0.000668375,0.000668375
