epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.1175,2.20774,4.1091,3.76173,1.95702,0.00357,0.43565,0.10672,0.04334,0.00288,0.33955,0.05033,0.01134,2.10218,3.3587,4.13428,1.92154,0.000405093,0.000405093,0.000405093
2,185.1,2.09147,2.86428,2.80211,1.72859,0.76118,0.22787,0.22186,0.11506,0.63066,0.0972,0.08524,0.01915,2.2142,3.6995,3.56598,2.17038,0.000821559,0.000821559,0.000821559
3,281.266,2.05904,2.72917,2.40621,1.70765,0.55968,0.22876,0.18063,0.07189,0.39181,0.10064,0.06974,0.01603,2.28631,4.27256,3.36867,1.98848,0.00123722,0.00123722,0.00123722
4,380.556,2.00198,2.65027,2.15034,1.66123,0.75184,0.27817,0.30171,0.11948,0.64214,0.14659,0.13259,0.03072,2.28912,3.69581,3.19749,2.12654,0.00124725,0.00124725,0.00124725
5,479.74,1.98049,2.57098,2.09938,1.65434,0.32868,0.46929,0.36306,0.15326,0.31166,0.33919,0.2623,0.06282,2.08175,2.6934,3.11027,1.88439,0.00124512,0.00124512,0.00124512
6,577.367,1.96402,2.54357,2.0134,1.60995,0.40883,0.44324,0.3982,0.17065,0.32895,0.35774,0.26587,0.0722,2.05506,2.18826,2.29769,1.83347,0.00124238,0.00124238,0.00124238
7,670.645,1.94431,2.54978,1.96684,1.60605,0.47715,0.38537,0.39734,0.16477,0.4543,0.26918,0.28533,0.07473,2.09894,2.20137,2.61677,1.84494,0.00123904,0.00123904,0.00123904
8,767.254,1.91733,2.6212,1.85809,1.61374,0.43443,0.44131,0.39822,0.17454,0.39134,0.36823,0.31284,0.08607,2.04782,2.49613,2.58339,1.76443,0.0012351,0.0012351,0.0012351
9,859.649,1.93183,2.45309,1.84951,1.59857,0.54463,0.50334,0.49989,0.22055,0.46667,0.37038,0.35086,0.10191,1.94861,1.94761,1.99851,1.72689,0.00123056,0.00123056,0.00123056
10,956.439,1.8672,2.44257,1.76534,1.5702,0.53893,0.55589,0.50148,0.22507,0.38281,0.44128,0.30481,0.09082,1.93632,1.92869,2.04106,1.69629,0.00122543,0.00122543,0.00122543
11,1050.89,1.85897,2.46111,1.75312,1.56673,0.53159,0.57581,0.53372,0.24479,0.47166,0.45707,0.37483,0.11123,1.94087,2.11162,1.87739,1.67421,0.00121972,0.00121972,0.00121972
12,1147.79,1.83174,2.46837,1.6573,1.53216,0.5575,0.55244,0.55555,0.256,0.49468,0.45917,0.43076,0.12245,1.86733,2.1473,1.99437,1.62595,0.00121342,0.00121342,0.00121342
13,1244.61,1.8009,2.41152,1.64628,1.51851,0.51086,0.54175,0.54912,0.24006,0.48614,0.44271,0.42985,0.11928,1.94884,1.88709,1.77713,1.70459,0.00120655,0.00120655,0.00120655
14,1339.3,1.83165,2.33097,1.64025,1.52947,0.57424,0.55629,0.56862,0.25737,0.52439,0.51461,0.49024,0.12566,1.93401,1.86269,1.6423,1.65858,0.00119911,0.00119911,0.00119911
15,1436.71,1.77921,2.35533,1.58539,1.49984,0.58415,0.5744,0.58121,0.27464,0.51678,0.52754,0.50779,0.15686,1.88475,1.63803,1.68738,1.64405,0.00119111,0.00119111,0.00119111
16,1534.44,1.814,2.36498,1.55127,1.51537,0.60657,0.56496,0.5971,0.2725,0.53455,0.49732,0.49116,0.1522,1.94525,1.87281,1.61124,1.65795,0.00118256,0.00118256,0.00118256
17,1633,1.79506,2.30627,1.50505,1.51116,0.57418,0.57209,0.58648,0.28701,0.5157,0.51389,0.50128,0.15216,1.81592,1.77442,1.7337,1.60543,0.00117346,0.00117346,0.00117346
18,1730.32,1.75504,2.37063,1.49347,1.49024,0.61473,0.58892,0.6209,0.29901,0.5605,0.52128,0.5106,0.15316,1.77558,1.8285,1.54055,1.56596,0.00116383,0.00116383,0.00116383
19,1826.79,1.79059,2.33191,1.52912,1.52303,0.66799,0.58977,0.63714,0.30392,0.60647,0.57309,0.56121,0.16764,1.80245,1.66994,1.47799,1.56688,0.00115368,0.00115368,0.00115368
20,1922.58,1.73572,2.32147,1.42689,1.46185,0.6273,0.59073,0.64645,0.31601,0.55732,0.52935,0.52369,0.1517,1.79322,1.89774,1.39699,1.58137,0.00114301,0.00114301,0.00114301
21,2018.38,1.73021,2.28358,1.45929,1.479,0.71003,0.60844,0.65726,0.32111,0.6532,0.55948,0.54959,0.17297,1.82979,1.62624,1.39814,1.59604,0.00113183,0.00113183,0.00113183
22,2114.78,1.74208,2.24984,1.44422,1.45848,0.58045,0.62631,0.65634,0.30693,0.53492,0.57861,0.56239,0.18328,1.77231,1.77627,1.45962,1.56099,0.00112016,0.00112016,0.00112016
23,2211.48,1.72244,2.26007,1.40555,1.44952,0.62902,0.61198,0.62888,0.30271,0.59112,0.55167,0.53829,0.16522,1.82742,1.72672,1.44242,1.56899,0.00110801,0.00110801,0.00110801
24,2306.23,1.71054,2.26153,1.41334,1.47029,0.63961,0.59028,0.62913,0.2908,0.57703,0.56486,0.56818,0.17341,1.78639,1.5887,1.5604,1.58855,0.00109538,0.00109538,0.00109538
25,2399.3,1.66618,2.18626,1.3804,1.44468,0.63149,0.57923,0.62847,0.30103,0.53806,0.49879,0.48635,0.15176,1.867,1.75028,1.51823,1.58424,0.0010823,0.0010823,0.0010823
26,2493.37,1.68796,2.2742,1.36882,1.43321,0.695,0.55663,0.64903,0.32482,0.64524,0.50575,0.5549,0.1643,1.7605,1.74452,1.35378,1.54796,0.00106877,0.00106877,0.00106877
27,2589.87,1.67968,2.21747,1.37472,1.43764,0.70703,0.63326,0.6833,0.34554,0.57627,0.57043,0.55251,0.17906,1.75451,1.67089,1.29639,1.55814,0.00105481,0.00105481,0.00105481
28,2685.71,1.64732,2.16657,1.33567,1.42474,0.71643,0.61119,0.67392,0.33111,0.59717,0.54614,0.54621,0.1784,1.74916,1.80709,1.34466,1.53009,0.00104044,0.00104044,0.00104044
29,2779.6,1.69352,2.2504,1.36713,1.44537,0.68633,0.642,0.67385,0.33085,0.60412,0.58418,0.57473,0.18458,1.74967,1.60509,1.30819,1.55164,0.00102566,0.00102566,0.00102566
30,2873.77,1.67826,2.13368,1.32137,1.41873,0.65264,0.6226,0.65637,0.33722,0.57918,0.57795,0.56849,0.18608,1.7385,1.79143,1.33686,1.48735,0.00101049,0.00101049,0.00101049
31,2968.92,1.67352,2.1327,1.33392,1.42031,0.64755,0.65504,0.6775,0.34899,0.62659,0.59802,0.60958,0.19529,1.6805,1.68661,1.31061,1.50941,0.000994942,0.000994942,0.000994942
32,3062.53,1.61422,2.17006,1.28047,1.40244,0.67176,0.64232,0.66185,0.33725,0.62925,0.59296,0.60275,0.19432,1.71264,1.56566,1.3273,1.51477,0.000979039,0.000979039,0.000979039
33,3154.48,1.58323,2.14844,1.27011,1.38484,0.63614,0.66178,0.68239,0.34485,0.58213,0.61723,0.61963,0.20452,1.72359,1.5371,1.28104,1.51992,0.000962793,0.000962793,0.000962793
34,3249.37,1.62403,2.13525,1.30193,1.40556,0.67673,0.66029,0.68013,0.33847,0.61494,0.59748,0.59696,0.19123,1.68146,1.61953,1.3046,1.50638,0.000946219,0.000946219,0.000946219
35,3343.77,1.62019,2.13728,1.26726,1.3971,0.73559,0.65241,0.69648,0.35121,0.66412,0.63017,0.638,0.21271,1.69165,1.56292,1.26155,1.50969,0.000929335,0.000929335,0.000929335
36,3437.86,1.58814,2.11295,1.244,1.3702,0.62001,0.65499,0.67029,0.33818,0.57474,0.61995,0.61835,0.20368,1.71051,1.56699,1.27828,1.50504,0.000912157,0.000912157,0.000912157
37,3534.28,1.61662,2.10349,1.23925,1.39511,0.68238,0.65887,0.67883,0.34752,0.60848,0.60538,0.58491,0.19808,1.70447,1.58094,1.22886,1.47546,0.000894701,0.000894701,0.000894701
38,3630.74,1.56677,2.06043,1.20511,1.34707,0.7148,0.65296,0.68704,0.36273,0.65628,0.62022,0.61618,0.21186,1.6513,1.53227,1.27067,1.45107,0.000876985,0.000876985,0.000876985
39,3723.06,1.63002,2.17254,1.26403,1.39838,0.66469,0.62255,0.64224,0.31328,0.61669,0.5948,0.60046,0.19948,1.78389,1.57335,1.28021,1.52811,0.000859027,0.000859027,0.000859027
40,3816.86,1.62503,2.17249,1.28026,1.39463,0.69201,0.65008,0.6813,0.35671,0.65846,0.62008,0.63527,0.22203,1.73654,1.52013,1.22018,1.50726,0.000840844,0.000840844,0.000840844
41,3912.43,1.63021,2.14149,1.24128,1.37237,0.72321,0.68005,0.6991,0.35902,0.69777,0.62965,0.63248,0.21434,1.69532,1.56635,1.22003,1.46983,0.000822454,0.000822454,0.000822454
42,4008.26,1.61885,2.14148,1.26594,1.39729,0.63369,0.66524,0.67012,0.33648,0.59865,0.58928,0.58847,0.20224,1.70979,1.56718,1.26075,1.50222,0.000803876,0.000803876,0.000803876
43,4100.43,1.61554,2.11162,1.26241,1.39984,0.65619,0.66722,0.6985,0.36886,0.57577,0.61439,0.59686,0.21826,1.67014,1.53562,1.23606,1.47194,0.000785127,0.000785127,0.000785127
44,4195.01,1.56664,2.07452,1.22895,1.36656,0.7173,0.67873,0.71475,0.36716,0.68776,0.6314,0.65632,0.22619,1.68549,1.56859,1.24891,1.45797,0.000766226,0.000766226,0.000766226
45,4292.6,1.5697,2.13564,1.20578,1.36098,0.69772,0.66044,0.70206,0.36297,0.59373,0.64812,0.62321,0.22039,1.66474,1.55099,1.16938,1.48157,0.000747192,0.000747192,0.000747192
